team_1_id,team_1_home_goals,team_1_away_goals,team_1_home_received_goals,team_1_away_received_goals,team_1_home_w,team_1_home_t,team_1_home_l,team_1_away_w,team_1_away_t,team_1_away_l,team_2_id,team_2_home_goals,team_2_away_goals,team_2_home_received_goals,team_2_away_received_goals,team_2_home_w,team_2_home_t,team_2_home_l,team_2_away_w,team_2_away_t,team_2_away_l,match_season,matchday,winner,match_home_goals,match_away_goals
264,1,2,0,5,0,0,2,1,0,0,299,0,2,2,2,0,0,1,0,2,0,635,2,AWAY,0,2
1,28,22,36,27,6,4,7,4,2,10,3,31,29,22,22,8,4,4,10,2,5,474,32,HOME,3,1
95,5,1,2,3,1,1,0,0,0,1,558,2,1,1,1,1,0,0,0,2,0,635,2,HOME,2,1
278,22,12,26,24,7,2,8,2,6,8,83,19,21,26,12,9,2,5,4,5,8,519,32,AWAY,1,2
9,1,7,5,5,0,0,2,1,0,1,5,12,5,5,3,2,0,0,1,0,1,599,3,HOME,4,3
16,5,5,14,7,1,2,1,0,1,3,18,8,7,2,5,2,1,1,3,0,1,474,7,HOME,5,1
81,35,15,13,10,9,1,0,4,3,3,80,9,7,15,22,0,3,7,3,2,5,519,19,TIE,2,2
62,13,12,21,11,6,2,3,2,2,7,65,29,33,15,10,8,1,2,7,1,3,468,21,HOME,2,1
16,2,3,1,2,1,0,1,1,1,0,11,0,2,2,0,0,2,0,0,2,0,599,3,TIE,0,0
57,17,18,12,8,6,2,1,4,2,1,66,14,14,15,11,4,3,1,3,2,3,151,15,TIE,2,2
102,12,14,14,5,3,1,3,2,2,3,445,9,8,16,9,3,1,3,0,3,4,290,13,HOME,3,2
68,18,5,20,25,3,3,6,1,2,8,66,24,12,17,10,6,4,1,3,3,6,468,22,HOME,4,0
65,33,34,17,12,9,2,2,8,1,4,73,25,18,22,12,8,2,3,3,5,5,468,25,HOME,2,0
77,0,2,3,1,0,0,1,1,0,1,278,1,1,2,3,0,1,2,0,0,1,635,3,AWAY,1,2
104,10,6,3,7,3,1,2,2,2,0,586,6,5,11,5,2,2,1,1,0,4,530,9,TIE,1,1
73,32,33,22,14,12,1,5,11,0,7,65,56,34,10,12,17,0,1,13,2,3,151,35,HOME,1,0
338,2,1,2,0,1,0,0,0,0,1,66,2,2,3,1,1,0,0,0,0,1,151,1,HOME,2,1
98,1,0,1,0,1,0,0,0,0,1,115,2,0,0,3,1,0,1,0,0,0,530,1,HOME,1,0
5,7,5,0,3,2,1,0,2,0,0,6,0,2,5,4,0,0,2,0,0,3,155,4,AWAY,0,2
338,26,28,12,15,8,3,3,7,2,4,76,21,17,15,17,5,6,3,4,6,3,468,26,TIE,0,0
745,4,2,11,10,1,1,5,0,1,4,86,15,6,4,5,4,2,0,2,3,1,519,11,HOME,5,0
78,20,17,13,9,8,5,1,4,8,3,77,16,16,18,8,7,4,3,2,8,5,519,28,TIE,1,1
328,18,14,27,26,5,2,7,3,4,8,67,16,10,18,18,6,1,8,2,6,6,151,28,HOME,2,0
76,9,7,6,9,2,3,1,1,4,1,57,11,5,9,8,3,3,0,1,2,3,468,11,TIE,1,1
563,11,9,11,12,3,1,4,2,2,3,67,6,6,7,13,2,0,6,1,4,2,151,14,AWAY,0,3
338,5,13,3,6,2,0,2,4,0,0,341,6,8,8,9,1,1,2,2,0,2,619,7,AWAY,1,4
471,22,12,12,24,4,5,3,3,4,4,107,15,15,26,14,4,5,3,2,2,7,290,22,TIE,1,1
67,24,14,23,25,8,1,10,3,8,7,397,18,16,32,24,6,5,7,3,4,12,151,36,TIE,1,1
278,31,15,29,21,9,6,4,2,8,9,94,28,21,26,26,5,8,6,5,6,8,281,37,HOME,1,0
278,0,1,2,0,0,0,0,0,1,1,89,2,0,0,2,1,0,1,0,0,0,519,1,HOME,2,1
110,5,6,6,7,1,2,1,2,0,1,586,7,5,5,11,0,1,3,1,1,1,638,6,AWAY,3,4
584,26,32,35,16,9,2,7,5,5,8,112,17,22,34,25,4,7,7,5,4,9,290,35,TIE,3,3
100,5,2,2,5,0,2,0,1,0,1,98,4,3,4,2,2,0,0,0,1,1,290,3,HOME,2,1
278,22,12,27,24,7,3,8,2,6,9,559,23,28,20,14,8,7,2,9,5,4,519,34,HOME,1,0
584,15,16,13,8,5,2,2,3,3,3,445,13,9,22,14,4,1,4,0,3,6,290,17,AWAY,2,4
354,4,6,9,8,1,2,4,2,1,4,66,8,14,15,8,3,2,1,3,2,3,151,13,TIE,0,0
328,23,21,34,29,7,2,9,4,5,9,61,36,24,27,12,11,6,1,9,2,7,151,35,TIE,2,2
356,12,11,11,10,4,2,4,3,6,2,65,29,27,14,10,8,1,2,6,1,3,468,20,HOME,2,0
19,27,14,25,16,6,3,3,3,1,9,12,8,19,29,29,1,2,9,3,4,6,474,24,AWAY,0,3
65,40,23,9,10,11,0,1,7,2,3,394,5,8,21,20,1,2,10,1,3,7,151,23,AWAY,0,3
298,9,8,7,12,2,3,3,3,3,2,77,8,7,12,11,2,4,2,0,5,3,281,15,HOME,1,0
1,5,1,2,9,0,1,3,0,1,1,10,4,7,2,5,0,2,1,2,1,0,599,5,TIE,1,1
73,20,30,13,11,7,0,4,11,0,2,63,17,8,30,23,4,3,5,0,2,10,151,23,AWAY,1,2
28,14,11,21,11,6,0,4,2,2,7,4,36,23,22,10,7,3,0,4,3,4,474,20,HOME,5,0
10,0,0,1,3,0,0,1,0,0,1,15,1,1,1,0,1,0,0,0,1,0,155,1,HOME,1,0
104,9,6,13,6,2,5,0,1,3,4,470,6,5,19,14,0,4,3,1,1,6,290,14,TIE,1,1
17,26,13,29,21,5,6,3,2,5,8,15,21,13,34,16,6,4,4,3,2,10,155,28,HOME,5,0
584,2,0,3,3,0,0,1,0,0,1,109,3,2,2,0,1,0,0,0,1,0,638,1,HOME,3,0
278,1,5,4,5,0,2,3,2,1,1,299,3,4,10,5,0,3,1,0,3,2,635,9,TIE,1,1
88,9,7,4,11,2,1,2,3,0,2,86,8,6,11,3,3,1,1,1,1,3,281,9,AWAY,1,2
354,2,2,6,1,1,2,0,1,0,2,73,7,5,6,2,2,0,1,0,2,1,468,5,HOME,4,0
1107,18,22,27,23,5,7,6,6,2,10,106,14,11,38,37,1,6,11,1,6,11,290,35,AWAY,0,4
112,12,8,9,9,4,0,4,1,3,2,103,9,11,14,9,2,2,2,2,2,4,530,13,TIE,2,2
397,15,12,24,12,5,4,3,2,2,9,63,17,8,32,23,4,3,5,0,2,11,151,24,HOME,4,2
108,13,18,7,6,5,1,1,7,0,0,586,6,10,11,9,2,2,3,3,0,4,530,13,AWAY,0,3
61,9,19,14,6,3,2,2,5,0,2,65,21,18,10,6,5,1,1,4,1,2,468,13,HOME,2,1
250,3,0,3,4,0,2,1,0,0,2,86,1,5,2,0,1,0,0,2,1,0,635,4,HOME,1,0
356,13,11,11,10,5,2,4,3,6,2,64,29,23,5,9,11,0,0,10,1,0,468,21,HOME,2,0
15,1,0,3,3,0,0,1,0,0,1,17,3,3,1,0,1,0,0,1,0,0,474,1,HOME,3,0
11,19,29,23,19,4,7,5,9,3,5,18,38,26,19,20,11,2,3,8,3,6,474,32,HOME,3,0
745,15,11,25,24,5,4,9,2,7,9,278,22,14,27,24,7,3,8,3,6,9,519,35,TIE,0,0
250,7,7,15,3,2,3,1,2,2,4,263,9,7,16,2,4,2,1,1,1,5,519,13,HOME,3,0
558,10,12,22,12,4,5,4,1,6,7,83,16,17,24,8,8,2,3,3,3,8,519,26,TIE,0,0
1107,4,0,1,4,1,0,1,0,0,1,103,1,5,4,0,1,0,0,1,1,0,530,2,HOME,1,0
98,15,24,22,15,5,5,4,8,2,6,1107,13,10,30,23,2,3,9,3,1,12,530,29,TIE,2,2
340,15,13,23,21,2,6,5,3,3,7,328,15,14,25,22,4,2,6,3,4,7,151,25,TIE,1,1
6,13,12,19,20,4,1,7,2,4,6,15,16,11,23,15,5,4,3,3,2,7,155,23,HOME,3,0
73,27,19,24,15,8,2,4,3,5,6,61,18,29,24,15,6,3,5,7,3,4,468,27,HOME,2,1
15,31,15,35,22,8,5,4,4,2,11,19,32,28,27,21,8,4,5,7,5,5,155,33,AWAY,0,2
12,2,3,1,4,1,0,1,1,0,0,6,1,0,12,3,0,0,1,0,0,2,599,2,AWAY,1,3
73,3,6,3,1,1,0,0,2,0,1,66,2,4,3,4,1,0,1,1,0,1,151,3,AWAY,0,3
80,15,11,23,28,2,5,9,3,4,9,90,30,13,29,23,8,4,4,1,6,9,519,31,HOME,1,0
115,5,8,9,12,2,1,5,1,3,3,471,16,8,8,14,3,4,1,2,2,3,290,14,TIE,0,0
110,42,26,19,16,12,3,2,9,2,4,5890,23,17,38,33,3,5,8,4,3,9,530,31,HOME,2,1
28,18,14,25,18,6,1,6,3,2,8,17,16,19,22,14,6,2,4,4,5,5,474,25,HOME,3,1
112,11,13,17,14,3,4,5,5,1,5,109,25,24,7,8,10,2,0,10,1,0,290,22,TIE,3,3
102,5,8,3,2,1,0,0,2,0,0,586,2,2,2,4,0,0,1,1,0,1,638,2,AWAY,2,4
1044,9,9,12,9,2,3,2,2,1,5,73,14,11,16,7,4,2,1,1,3,4,468,14,HOME,3,2
79,5,2,2,6,2,0,2,1,1,2,559,2,5,5,1,2,0,1,1,1,2,635,9,HOME,1,0
449,11,8,17,21,1,2,7,3,1,6,584,11,9,21,12,3,3,4,2,1,7,530,19,HOME,5,1
250,5,2,7,7,1,2,2,0,1,3,94,10,3,5,4,4,1,0,1,2,1,635,8,HOME,2,0
584,5,7,16,9,2,3,3,1,0,6,104,19,12,7,12,5,1,2,3,4,0,530,14,HOME,4,3
16,1,2,1,1,0,1,0,1,0,0,24,1,1,1,2,0,0,1,0,1,0,155,1,AWAY,1,2
12,2,2,1,2,0,2,0,1,0,0,19,1,3,3,2,0,0,1,1,0,1,155,2,AWAY,1,2
1044,16,11,14,14,5,2,3,3,0,5,76,12,7,8,13,4,2,4,3,2,3,151,17,HOME,2,0
586,21,21,36,27,7,4,7,4,1,12,99,18,25,23,22,4,8,6,6,5,6,530,34,HOME,2,0
340,13,12,22,18,2,5,4,3,2,7,338,13,16,17,12,4,2,5,5,2,5,151,22,AWAY,1,2
108,7,8,3,7,1,1,1,2,1,0,107,5,1,7,5,1,0,2,0,2,1,638,5,AWAY,0,2
263,11,11,17,6,5,4,0,4,1,6,298,11,12,12,14,2,5,3,3,4,3,281,19,TIE,1,1
100,18,15,6,13,5,2,2,5,3,1,99,10,12,15,14,2,3,4,2,3,4,530,17,AWAY,1,4
1106,4,6,10,10,1,0,3,1,0,2,450,7,3,4,1,3,1,0,0,2,1,638,6,HOME,3,1
94,7,8,9,10,1,3,4,2,2,3,81,28,13,7,12,5,2,1,4,2,1,281,14,HOME,2,0
